,0,tick number
0,0.00023060188050879775,0
1,0.0009870049517601348,48
2,0.00192863538343976,96
3,0.0023439960998083756,144
4,0.00020793606036062073,0
5,0.000985260856295605,48
6,0.002157562399821101,96
7,0.004059163816944063,144
8,0.00013446071180031347,0
9,0.0009806124040521128,48
10,0.002056099993994818,96
11,0.002028550207882914,144
12,0.00010052034133760813,0
13,0.0011114444773177828,48
14,0.0020956024417040013,96
15,0.001978801662946927,144
16,0.00012292349336416152,0
17,0.0012546208269218746,48
18,0.0020027083996300723,96
19,0.0021891326683190974,144
20,0.0002970800173834413,0
21,0.0010797840144914762,48
22,0.0032424087626795792,96
23,0.002758868863518851,144
24,0.00011388299883086354,0
25,0.0012013457941702263,48
26,0.0018731431067417193,96
27,0.0027252544684463875,144
28,0.00020345408258127078,0
29,0.0010961747795474204,48
30,0.002036241734373804,96
31,0.0027743227311231612,144
32,0.00017289684011758213,0
33,0.0013311844931764944,48
34,0.002027471487457456,96
35,0.0027233546681048604,144
36,0.0002306428657707274,0
37,0.0007270063550771788,48
38,0.0019885759514764938,96
39,0.0029975639742368704,144
40,0.00017496306986913919,0
41,0.0009572556980079668,48
42,0.0017845374614912175,96
43,0.006086971811977541,144
44,0.00012984038100948272,0
45,0.000890029571713966,48
46,0.0020052490879481463,96
47,0.003484806519858596,144
48,0.0002339649361668348,0
49,0.0011291066733654235,48
50,0.001640930805168124,96
51,0.0023981108437327032,144
52,0.000370318563059279,0
53,0.001019962491084004,48
54,0.001851496505522677,96
55,0.002453042097482614,144
56,0.0001765939698682091,0
57,0.0008980325422750731,48
58,0.002957583355245909,96
59,0.0036702032540411843,144
60,0.00010696003911634579,0
61,0.0010921932565537422,48
62,0.0020059437247875594,96
63,0.002817816050025473,144
64,0.00017896523202639647,0
65,0.001189995346786564,48
66,0.0023167443625844862,96
67,0.003238993404570609,144
68,0.00017185646614236664,0
69,0.0011429540604850428,48
70,0.0021825060226068676,96
71,0.002607724642282874,144
72,0.00018314159506071422,0
73,0.0010181194327184818,48
74,0.0013347084388814338,96
75,0.0015229617305866565,144
76,0.0001089491478018057,0
77,0.0008297726776581672,48
78,0.0018769964253808622,96
79,0.0029408716698557,144
80,0.00019402504826374853,0
81,0.0009225329847185569,48
82,0.002688543694012355,96
83,0.0017795812160059806,144
84,0.0002015402797898302,0
85,0.0013415342719410145,48
86,0.001961160298260697,96
87,0.002815734198577456,144
88,0.00017134771450000725,0
89,0.001364503823663822,48
90,0.00124178090333761,96
91,0.0026840500160990794,144
92,8.288821521604306e-05,0
93,0.0011483759229499884,48
94,0.00201950196476329,96
95,0.0028196787687958893,144
96,0.00016280629071133916,0
97,0.0009689215025601165,48
98,0.0022260524827205884,96
99,0.003127622205384395,144
