"X","Y","dapi","nanog","gata6","nanog_normalized","gata6_normalized"
0.384615384615385,2460.07692307692,15164.3076923077,16703.9230769231,3310.69230769231,1.10152889375862,0.218321361902443
1.16666666666667,2470.59523809524,18244.5714285714,19837.5,3838.02380952381,1.08730972813831,0.210365248893343
3.12844036697248,2579.59633027523,19621.4220183486,34186.3302752294,8185.69724770642,1.74229626391301,0.41718165177079
0.75,2750.9,21879.5,16186.45,14448.55,0.739799812609977,0.66036929545922
4.33333333333333,2768.19892473118,23306.4408602151,26276.2365591398,3556.02688172043,1.12742381888065,0.152577002342331
1.18181818181818,2808,18447.5454545455,18816.9090909091,2625.18181818182,1.02002237301834,0.142305209365129
6.58333333333333,2378.08333333333,21562.7048611111,41608.25,2587.91666666667,1.92963963788428,0.120018183402122
6,2665.32057416268,29881.8851674641,37698.2918660287,4064.4019138756,1.26157675979142,0.136015579040541
5.49700598802395,2304.83233532934,28527.1317365269,60629.1736526946,7419.71856287425,2.12531614508806,0.260093395697887
2.7051282051282,2619.60256410256,30441.5128205128,50729.217948718,3136.70512820513,1.6664486501648,0.103040382608432
4.88421052631579,2630.83157894737,23360.9368421053,29763.4842105263,2948.13684210526,1.2740706595671,0.126199426933581
2.31578947368421,2646.43859649123,30231.6666666667,34964.0877192982,2577.9298245614,1.15653854300562,0.0852725009502642
5.85561497326203,2683.56684491979,21175.7807486631,22386.9090909091,21748.1336898396,1.05719403485619,1.0270286582568
7.24064171122995,2488.02673796791,15325.1229946524,19477.550802139,11122.1871657754,1.27095559421843,0.72574863964592
6.5,2168.2,16568,17999.9,5910.4,1.08642563978754,0.356735876388218
6.69230769230769,2173.15384615385,18788,20378.6153846154,6128.46153846154,1.08466124039895,0.326190203239384
6.5,2645,33848.1176470588,36796.8823529412,2730.38235294118,1.08711753890215,0.080665707364038
9.02173913043478,2519.13043478261,13831.6630434783,31990.0760869565,9543.21739130435,2.31281487890497,0.689954444473259
9.7970297029703,2612.92574257426,26345.3564356436,41813.9554455445,3102.92079207921,1.5871470764758,0.117778660526344
9.09090909090909,2201.63636363636,15229.5681818182,19988.3636363636,6489.77272727273,1.3124708066396,0.426129792374582
10,2298,26207.1428571429,60755.5714285714,8914.57142857143,2.3182829108749,0.340158081221041
10.1806167400881,2595.12334801762,22884.5374449339,33638.8325991189,9102.61233480176,1.46993718706627,0.397762565955505
8.80645161290323,2727.0788530466,27001.1362007168,28869.8494623656,4583.76344086022,1.06920868987725,0.169761872492555
9.47435897435897,1992.12179487179,40709.2307692308,35320.3782051282,2870.76282051282,0.867625782598289,0.0705187193731655
9.1304347826087,2019.10869565217,35629.4275362319,43463.5434782609,5712.13043478261,1.2198776821228,0.160320578515439
9.38211382113821,2077.34959349594,26082.2276422764,36818.0487804878,10978.6341463415,1.41161442517317,0.420923944722662
10.5510204081633,2209.62244897959,15080.5408163265,20818.9489795918,6771.44897959184,1.3805173987562,0.449018974986687
11.2386363636364,2753.54545454545,20106.7897727273,13738.2443181818,28354.2329545455,0.683263935887781,1.4101819969792
10.3181818181818,2799.0404040404,21536.8232323232,24053.0707070707,2756.82828282828,1.11683466255,0.128005335470773
10.3284671532847,2290.64233576642,17335.4598540146,64127.8321167883,7511.47445255474,3.6992287863617,0.433301136272726
10.0217391304348,2643.86956521739,33858.2608695652,36083.4347826087,2699.5652173913,1.06572026607083,0.079731360916352
12.2222222222222,1527.11111111111,20680.4444444444,20013.3333333333,7309.11111111111,0.967741935483871,0.353431045969354
11.9095477386935,1939.26633165829,38924.9648241206,54921.6030150754,10459.4120603015,1.41096089009288,0.268707039494102
11.7603686635945,1974.24884792627,29736.1382488479,43399.7188940092,9911.92165898618,1.45949411893425,0.333329149065622
11.4975609756098,2412.62682926829,20776.2243902439,25416.5390243902,4078.89756097561,1.22334734872835,0.19632525546321
12.4640522875817,1851.59477124183,38001.8888888889,31333.0522875817,9796.80392156863,0.824513023002469,0.257797815003692
12.1759259259259,1884.90277777778,27994.7037037037,48241.8888888889,2720.28240740741,1.72325056194492,0.0971713234117035
12.4448979591837,2144.65306122449,20493.9265306122,28411.6408163265,8929.74285714286,1.38634442618341,0.435726303780991
14.7903225806452,2642.79032258064,31050.1290322581,32139.1774193548,2662.33870967742,1.03507387637473,0.0857432414181438
14.2577319587629,1486.21649484536,24616.9690721649,45340.3711340206,22969.3195876289,1.84183402112197,0.933068547971687
14.4090909090909,1451.60606060606,28810.8636363636,33674.5606060606,3265.18181818182,1.16881468848293,0.113331618912689
14.675,1564.43333333333,31947.9,40641.7916666667,4486.81666666667,1.27212717163465,0.140441677439414
15.1506849315069,2551.47602739726,18876.7123287671,38940.1815068493,11517.1952054794,2.06286883164006,0.610127177068215
16.2479338842975,1435.9173553719,27480.041322314,44101.8099173554,8709.23966942149,1.60486694325107,0.316929642400119
15.6330935251799,1627.03597122302,24253.5827338129,42834.5107913669,4078.76978417266,1.76611065101114,0.168171846153116
15.7959183673469,1644.67346938775,27113.1836734694,32377.2789115646,2423.21768707483,1.19415260492799,0.0893741478779558
15.4975845410628,1869.66666666667,36717.1594202899,46906.6038647343,4300.65700483092,1.27751178482543,0.117129349675519
16.6914893617021,1959.87765957447,30953.1489361702,32585.1861702128,9651.3829787234,1.05272604856482,0.311806175152839
16.1,2518.4,12971.2,30720.2,9730,2.36833908967559,0.750123350191193
17,1140,20389.2857142857,22200.7142857143,2611,1.08884217901559,0.128057453144158
17.3809523809524,1328.80952380952,22679.2380952381,22100.0476190476,2942,0.974461643122302,0.129722170896814
