"X","Y","dapi","nanog","gata6","nanog_normalized","gata6_normalized"
2.27272727272727,2318.12987012987,24629.025974026,46121.8181818182,4696.2987012987,1.8726610719587,0.190681462850032
0.3,2374.7,22116.1,25109.1,5514.7,1.13533127450138,0.24935228182184
1.7,2405.22,20938.44,52363.28,20978.56,2.50082050047664,1.00191609308048
0.411764705882353,2434.29411764706,19810.5882352941,25350.9411764706,10390.4705882353,1.27966625096502,0.524490765484886
1.05555555555556,2483.16666666667,31077.1111111111,19917.8888888889,7786.5,0.640918289273277,0.250554177064935
2.9746835443038,2508.06329113924,24593.8227848101,32508.7721518987,7961,1.32182672195138,0.323699169082285
0.461538461538462,2701.23076923077,18235.3846153846,26257.6153846154,26534.4615384615,1.43992660086054,1.45510841137265
0.714285714285714,2722.57142857143,15388.2857142857,35626.2857142857,47118.8571428571,2.31515624129672,3.06199520971425
1.5,2793.97142857143,20535.8142857143,49673.3714285714,11574.4,2.4188654385683,0.563620211936359
0.666666666666667,2808.33333333333,16323.6666666667,35081.8333333333,13177.6666666667,2.14913928651651,0.807273692593576
2.62,2547.68,16850.42,30099.32,5693.18,1.78626526816542,0.337865762396427
3.62637362637363,2597.50549450549,17040.7142857143,36648.1538461538,3854.72527472528,2.1506231036851,0.226206789814955
0.555555555555556,2664.05555555556,16312.8888888889,25764.1666666667,4663.22222222222,1.57937486377507,0.285861214036617
1.68965517241379,2728.34482758621,15646.2413793103,37653.1724137931,43414.4137931034,2.40653147941226,2.77475035317505
5.58571428571429,2664.12857142857,16927.9,27881.8285714286,4883.48571428571,1.64709317584748,0.288487391483038
5.80434782608696,2360.77536231884,24754.9057971015,42191.3913043478,7641.71739130435,1.70436484994776,0.308695070542305
2.9746835443038,2579.39240506329,22546.9746835443,29619.1012658228,9399.53164556962,1.31366188508829,0.416886601306639
6.3,1937.3,17197.9,43367.1,5456.9,2.5216508992377,0.317300368068194
6.375,1945,17774.375,42778.375,5521.625,2.40674425964345,0.310650866767467
6.03225806451613,2726.38709677419,15231.3225806452,39666.3548387097,52361.9032258064,2.60426201524448,3.43777783896089
8.66964285714286,2793.57142857143,22675.2946428571,49133.9821428571,9605.92857142857,2.16685087963497,0.423629713427098
8.12738853503185,2421.17834394905,19256.2292993631,38165.3121019108,4181.35668789809,1.98197224952931,0.217143066946985
5.55,2460.625,37397.825,21332.475,8738.25,0.570420204918334,0.233656636448777
7,2578,20591.9310344828,28438.4137931034,9538.75862068966,1.3810464761892,0.463227980159621
7.6508875739645,2778.40828402367,18098.3727810651,39975.1715976331,10861.4911242604,2.2087715885406,0.600136335771793
8,1919.76,23526.94,32533.54,4661.08,1.38282071531614,0.198116712160612
8,1927.48387096774,21946.2903225806,30799.3548387097,4583.09677419355,1.40339685596067,0.208832413443377
7.41176470588235,2082.14705882353,31540.4117647059,23833.6176470588,4323.23529411765,0.755653344821863,0.13706971634896
8.87449392712551,2558.44534412955,22380.3157894737,44688.8825910931,21683.9028340081,1.99679410297294,0.968882791377183
8.25,1896.05769230769,28522.3076923077,35992.0769230769,4087.82692307692,1.26189217616441,0.143320343051323
9.1,2051.84,19792.98,37786,4463.66,1.90906068717293,0.225517329881604
8.41891891891892,2198.91891891892,18559.7837837838,33716.2837837838,18890.6621621622,1.81663128065332,1.01782770652035
8.84347826086957,2267.02608695652,23015.1217391304,33490.3391304348,7844.44347826087,1.45514499162932,0.34083866977439
9.09090909090909,2488.17224880383,31051.4688995215,40308.6842105263,9838.7990430622,1.29812487586207,0.316854544784959
9.11111111111111,2684.55555555556,14555.2222222222,22988.1111111111,16761.7777777778,1.57937204668809,1.15159889157767
9.82089552238806,1876.25373134328,28234.5820895522,36966.8805970149,6631.74626865672,1.30927670470795,0.234880270146116
9.42168674698795,1885.59036144578,29028.9879518072,39769.3493975904,6059.5421686747,1.36998745748952,0.208741075601206
8.11842105263158,1968.67105263158,21920.1842105263,30240.0263157895,4358.3947368421,1.37955165090574,0.198830205758451
9.31868131868132,2042.64835164835,24699.5494505494,43663.9340659341,4775.10989010989,1.76780285621618,0.193327813516196
